Location Name,Who Polices This Muni? (for munis without their own dept),Link to police department,Do they have a police union?,Total Number Police Officers (as of 2019),Full Time Police (as of 2019),Part Time Police (as of 2019),Do they use a police bill of rights?,Keywords found in contract
Aleppo Township,Ohio Township,https://www.ohiotwp.org/police,,,,,Y,
Aspinwall Borough,,https://www.aspinwallpa.com/aspinwall-police,,9,6,3,N,"time limit, discipline"
Avalon Borough,,http://www.boroughofavalon.org/departments/policedepartment.html,,14,5,9,Y,"time limit, discipline"
Baldwin Borough,,http://www.baldwinborough.org/173/Police-Department,Teamsters LU 205,24,24,0,N,"false arrest, destroy, time limit, release, discipline"
Baldwin Township,,https://www.baldwintownship.com/publicsafety.html#police,FOP 91,4,4,0,N,discipline
Bell Acres Borough,,http://bellacresborough.org/borough-services/police/,,8,5,3,N,discipline
Bellevue Borough,,https://allegheny.crimewatchpa.com/bellevuepd,,13,13,0,Y,"false arrest, destroy, time limit, subpoena, discipline"
Ben Avon Borough,Ohio Township,https://www.ohiotwp.org/police,,,,,Y,
Ben Avon Heights Borough,Ohio Township,https://www.ohiotwp.org/police,,,,,Y,
Bethel Park,,https://bethelpark.net/departments/police/,,38,38,0,Y,"false arrest, time limit, subpoena, discipline"
 Blawnox Borough,,https://www.blawnox.com/police-department,,4,3,1,N,"subpoena, release, discipline"
 Brackenridge Borough,,http://brackenridgeboro.com/police-department/,,6,4,2,N,"false arrest, time limit, discipline"
Braddock Borough,,https://www.braddockborough.com/police,Teamsters LU 205,9,0,9,Y,"time limit, subpoena, release, discipline"
 Braddock Hills Borough,,https://www.braddockhillspa.com/police.html,,18,18,0,N,"time limit, subpoena, discipline"
 Bradford Woods Borough,Northern Regional,https://nrpolice.com/,,,,,N,
 Brentwood Borough,,https://www.brentwoodboro.com/police.html,Teamsters LU 205,14,14,0,Y,"false arrest, time limit, subpoena, discipline"
 Bridgeville Borough,,http://www.bridgevillepd.com/,,11,8,3,Y,"false arrest, subpoena, discipline"
 Carnegie Borough,,http://www.carnegieborough.com/police.html,,13,13,0,N,"false arrest, time limit, discipline"
 Castle Shannon Borough,,https://allegheny.crimewatchpa.com/cspd,Teamsters LU 205,14,14,0,Y,"time limit, subpoena, discipline"
Chalfant Borough,Forest Hills Borough,https://foresthillspa.org,,,,,N,
Cheswick Borough,Allegheny Valley Regional,http://www.avrpd.com/,,,,,,
Churchill Borough,,http://www.churchillborough.com/churchill-departments/police.aspx,,8,8,0,,"false arrest, time limit, discipline"
